Institute,Academic Program Name,Category,Gender,Closing Rank,College_Branch,State
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Civil Engineering,Open,Gender-Neutral,76327,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel - Civil Engineering",Maharashtra
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Civil Engineering,Open,Female-Only,100590,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel - Civil Engineering",Maharashtra
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Computer Engineering,Open,Gender-Neutral,45634,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel - Computer Engineering",Maharashtra
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Computer Engineering,Open,Female-Only,55741,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel - Computer Engineering",Maharashtra
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Electrical Engineering,Open,Gender-Neutral,134651,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel - Electrical Engineering",Maharashtra
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Mechanical Engineering,Open,Gender-Neutral,121300,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel - Mechanical Engineering",Maharashtra
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Mechanical Engineering,Open,Female-Only,136580,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel - Mechanical Engineering",Maharashtra
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel","Electronics and Computer
Science",Open,Gender-Neutral,76306,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel - Electronics and Computer
Science",Maharashtra
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel","Electronics and Computer
Science",Open,Female-Only,98305,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel - Electronics and Computer
Science",Maharashtra
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel","Computer Science and
Engineering(Artificial",Open,Gender-Neutral,59871,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel - Computer Science and
Engineering(Artificial",Maharashtra
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel","Computer Science and
Engineering(Artificial",Open,Female-Only,66684,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel - Computer Science and
Engineering(Artificial",Maharashtra
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel","Computer Science and
Engineering(Data Science)",Open,Gender-Neutral,59580,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel - Computer Science and
Engineering(Data Science)",Maharashtra
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel","Computer Science and
Engineering(Data Science)",Open,Female-Only,91270,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel - Computer Science and
Engineering(Data Science)",Maharashtra
"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg.",Civil Engineering,Open,Gender-Neutral,134877,"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg. - Civil Engineering",Maharashtra
"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg.",Civil Engineering,Open,Female-Only,131683,"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg. - Civil Engineering",Maharashtra
"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg.",Computer Engineering,Open,Gender-Neutral,102859,"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg. - Computer Engineering",Maharashtra
"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg.",Computer Engineering,OBC,Gender-Neutral,106625,"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg. - Computer Engineering",Maharashtra
"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg.",Computer Engineering,Open,Female-Only,98322,"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg. - Computer Engineering",Maharashtra
"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg.",Computer Engineering,OBC,Female-Only,92751,"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg. - Computer Engineering",Maharashtra
"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg.","Electronics and
Telecommunication Engg",Open,Gender-Neutral,138805,"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg. - Electronics and
Telecommunication Engg",Maharashtra
"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg.","Electronics and
Telecommunication Engg",Open,Female-Only,114963,"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg. - Electronics and
Telecommunication Engg",Maharashtra
"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg.",Mechanical Engineering,Open,Gender-Neutral,112547,"Metropolitan Institute of Technology & Management, Sukhalwad,
Sindhudurg. - Mechanical Engineering",Maharashtra
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research",Civil Engineering,Open,Gender-Neutral,142015,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research - Civil Engineering",Maharashtra
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research",Civil Engineering,Open,Female-Only,111207,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research - Civil Engineering",Maharashtra
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research",Computer Engineering,Open,Gender-Neutral,96681,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research - Computer Engineering",Maharashtra
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research",Computer Engineering,SC,Gender-Neutral,142097,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research - Computer Engineering",Maharashtra
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research",Computer Engineering,OBC,Gender-Neutral,111283,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research - Computer Engineering",Maharashtra
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research",Computer Engineering,Open,Female-Only,94824,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research - Computer Engineering",Maharashtra
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research",Computer Engineering,OBC,Female-Only,101851,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research - Computer Engineering",Maharashtra
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research",Computer Engineering,ST,Gender-Neutral,118837,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research - Computer Engineering",Maharashtra
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research","Electronics and
Telecommunication Engg",Open,Gender-Neutral,130017,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research - Electronics and
Telecommunication Engg",Maharashtra
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research","Electronics and
Telecommunication Engg",Open,Female-Only,110167,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research - Electronics and
Telecommunication Engg",Maharashtra
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research",Mechanical Engineering,Open,Gender-Neutral,140878,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik
Institute Of Technology & Research - Mechanical Engineering",Maharashtra
"G.M.Vedak Institute of Technology, Tala, Raigad.",Civil Engineering,Open,Gender-Neutral,141593,"G.M.Vedak Institute of Technology, Tala, Raigad. - Civil Engineering",Maharashtra
"G.M.Vedak Institute of Technology, Tala, Raigad.",Computer Engineering,Open,Gender-Neutral,85370,"G.M.Vedak Institute of Technology, Tala, Raigad. - Computer Engineering",Maharashtra
"G.M.Vedak Institute of Technology, Tala, Raigad.",Computer Engineering,SC,Gender-Neutral,136560,"G.M.Vedak Institute of Technology, Tala, Raigad. - Computer Engineering",Maharashtra
"G.M.Vedak Institute of Technology, Tala, Raigad.",Computer Engineering,OBC,Gender-Neutral,111689,"G.M.Vedak Institute of Technology, Tala, Raigad. - Computer Engineering",Maharashtra
"G.M.Vedak Institute of Technology, Tala, Raigad.",Computer Engineering,Open,Female-Only,107674,"G.M.Vedak Institute of Technology, Tala, Raigad. - Computer Engineering",Maharashtra
"G.M.Vedak Institute of Technology, Tala, Raigad.",Computer Engineering,OBC,Female-Only,120661,"G.M.Vedak Institute of Technology, Tala, Raigad. - Computer Engineering",Maharashtra
"G.M.Vedak Institute of Technology, Tala, Raigad.",Computer Engineering,SC,Female-Only,116771,"G.M.Vedak Institute of Technology, Tala, Raigad. - Computer Engineering",Maharashtra
"G.M.Vedak Institute of Technology, Tala, Raigad.",Mechanical Engineering,Open,Gender-Neutral,138267,"G.M.Vedak Institute of Technology, Tala, Raigad. - Mechanical Engineering",Maharashtra
"Universal College of Engineering,Kaman Dist. Palghar",Civil Engineering,Open,Gender-Neutral,142232,"Universal College of Engineering,Kaman Dist. Palghar - Civil Engineering",Maharashtra
"Universal College of Engineering,Kaman Dist. Palghar",Civil Engineering,Open,Female-Only,63538,"Universal College of Engineering,Kaman Dist. Palghar - Civil Engineering",Maharashtra
"Universal College of Engineering,Kaman Dist. Palghar",Computer Engineering,Open,Gender-Neutral,36788,"Universal College of Engineering,Kaman Dist. Palghar - Computer Engineering",Maharashtra
"Universal College of Engineering,Kaman Dist. Palghar",Computer Engineering,Open,Female-Only,46293,"Universal College of Engineering,Kaman Dist. Palghar - Computer Engineering",Maharashtra
"Universal College of Engineering,Kaman Dist. Palghar",Information Technology,Open,Gender-Neutral,40280,"Universal College of Engineering,Kaman Dist. Palghar - Information Technology",Maharashtra
"Universal College of Engineering,Kaman Dist. Palghar",Information Technology,Open,Female-Only,61240,"Universal College of Engineering,Kaman Dist. Palghar - Information Technology",Maharashtra
"Universal College of Engineering,Kaman Dist. Palghar","Artificial Intelligence and
Machine Learning",Open,Gender-Neutral,52101,"Universal College of Engineering,Kaman Dist. Palghar - Artificial Intelligence and
Machine Learning",Maharashtra
"Universal College of Engineering,Kaman Dist. Palghar","Artificial Intelligence and
Machine Learning",Open,Female-Only,69003,"Universal College of Engineering,Kaman Dist. Palghar - Artificial Intelligence and
Machine Learning",Maharashtra
"Universal College of Engineering,Kaman Dist. Palghar",Data Engineering,Open,Gender-Neutral,64036,"Universal College of Engineering,Kaman Dist. Palghar - Data Engineering",Maharashtra
"Universal College of Engineering,Kaman Dist. Palghar",Data Engineering,Open,Female-Only,90728,"Universal College of Engineering,Kaman Dist. Palghar - Data Engineering",Maharashtra
"VPM's Maharshi Parshuram College of Engineering, Velneshwar,
Ratnagiri.",Civil Engineering,Open,Gender-Neutral,89412,"VPM's Maharshi Parshuram College of Engineering, Velneshwar,
Ratnagiri. - Civil Engineering",Maharashtra
"VPM's Maharshi Parshuram College of Engineering, Velneshwar,
Ratnagiri.",Electrical Engineering,Open,Gender-Neutral,132691,"VPM's Maharshi Parshuram College of Engineering, Velneshwar,
Ratnagiri. - Electrical Engineering",Maharashtra
"VPM's Maharshi Parshuram College of Engineering, Velneshwar,
Ratnagiri.","Instrumentation
Engineering",Open,Gender-Neutral,132378,"VPM's Maharshi Parshuram College of Engineering, Velneshwar,
Ratnagiri. - Instrumentation
Engineering",Maharashtra
"VPM's Maharshi Parshuram College of Engineering, Velneshwar,
Ratnagiri.",Mechanical Engineering,Open,Gender-Neutral,137042,"VPM's Maharshi Parshuram College of Engineering, Velneshwar,
Ratnagiri. - Mechanical Engineering",Maharashtra
"Ideal Institute of Technology, Wada, Dist.Thane",Civil Engineering,Open,Gender-Neutral,133507,"Ideal Institute of Technology, Wada, Dist.Thane - Civil Engineering",Maharashtra
"Ideal Institute of Technology, Wada, Dist.Thane","Computer Science and
Engineering",Open,Gender-Neutral,59408,"Ideal Institute of Technology, Wada, Dist.Thane - Computer Science and
Engineering",Maharashtra
"Ideal Institute of Technology, Wada, Dist.Thane",Electrical Engineering,Open,Gender-Neutral,140376,"Ideal Institute of Technology, Wada, Dist.Thane - Electrical Engineering",Maharashtra
"Ideal Institute of Technology, Wada, Dist.Thane","Electronics and
Telecommunication Engg",Open,Gender-Neutral,124519,"Ideal Institute of Technology, Wada, Dist.Thane - Electronics and
Telecommunication Engg",Maharashtra
"Ideal Institute of Technology, Wada, Dist.Thane","Electronics and
Telecommunication Engg",Open,Female-Only,126707,"Ideal Institute of Technology, Wada, Dist.Thane - Electronics and
Telecommunication Engg",Maharashtra
"Ideal Institute of Technology, Wada, Dist.Thane","Electronics and
Telecommunication Engg",SC,Female-Only,143144,"Ideal Institute of Technology, Wada, Dist.Thane - Electronics and
Telecommunication Engg",Maharashtra
"Ideal Institute of Technology, Wada, Dist.Thane",Mechanical Engineering,Open,Gender-Neutral,139085,"Ideal Institute of Technology, Wada, Dist.Thane - Mechanical Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Civil Engineering,Open,Gender-Neutral,139437,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Civil Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Civil Engineering,Open,Female-Only,109024,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Civil Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Computer Engineering,Open,Gender-Neutral,56461,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Computer Engineering,SC,Gender-Neutral,69733,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Computer Engineering,NT,Gender-Neutral,64242,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Computer Engineering,OBC,Gender-Neutral,61651,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Computer Engineering,Open,Female-Only,43502,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Computer Engineering,OBC,Female-Only,58965,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Computer Engineering,SC,Female-Only,88211,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Computer Engineering,NT,Gender-Neutral,66913,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Computer Engineering,NT,Female-Only,108159,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Electrical Engineering,Open,Gender-Neutral,125883,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Electrical Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Electrical Engineering,OBC,Gender-Neutral,132375,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Electrical Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Electrical Engineering,Open,Female-Only,125746,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Electrical Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad","Electronics and
Telecommunication Engg",Open,Gender-Neutral,87596,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Electronics and
Telecommunication Engg",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad","Electronics and
Telecommunication Engg",OBC,Gender-Neutral,96554,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Electronics and
Telecommunication Engg",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad","Electronics and
Telecommunication Engg",Open,Female-Only,86016,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Electronics and
Telecommunication Engg",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad","Electronics and
Telecommunication Engg",OBC,Female-Only,88336,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Electronics and
Telecommunication Engg",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad","Electronics and
Telecommunication Engg",SC,Female-Only,91281,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Electronics and
Telecommunication Engg",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Mechanical Engineering,Open,Gender-Neutral,132349,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Mechanical Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Mechanical Engineering,OBC,Gender-Neutral,132511,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Mechanical Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad",Mechanical Engineering,Open,Female-Only,115630,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Mechanical Engineering",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad","Computer Science and
Engineering(Artificial",Open,Gender-Neutral,64907,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Science and
Engineering(Artificial",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad","Computer Science and
Engineering(Artificial",SC,Gender-Neutral,82810,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Science and
Engineering(Artificial",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad","Computer Science and
Engineering(Artificial",OBC,Gender-Neutral,89713,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Science and
Engineering(Artificial",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad","Computer Science and
Engineering(Artificial",Open,Female-Only,74038,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Science and
Engineering(Artificial",Maharashtra
"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad","Computer Science and
Engineering(Artificial",OBC,Female-Only,78522,"Vishwaniketan's Institute of Management Entrepreneurship and
Engineering Technology(i MEET), Khalapur Dist Raigad - Computer Science and
Engineering(Artificial",Maharashtra
